id,date,kwic,before,after
nla.obj-188284455,1880-02-07,"loads of penni- less and often far from energetic immigrants means nothing but a large addition to the misery,",and|often|far|from|energetic,means|nothing|but|a|large
nla.obj-188284455,1880-02-07,"l Dalhousie, just arrived at Brisbane, brings 314 immigrants from London. Tne last escort from Adclong took aw",arrived|at|Brisbane|brings|314,from|London|Tne|last|escort
nla.obj-125534622,1880-03-06,"y Boyd. The Norval has arrived at Sydney with 366 immigrants, a few of whom are suffering from chicken- pox. T",arrived|at|Sydney|with|366,a|few|of|whom|are
nla.obj-201374109,1880-05-22," Friday was well attended by the elite. The Clyde immigrants, numbering 390, arc healthy and desirable colonis",by|the|elite|The|Clyde,numbering|390|arc|healthy|and
nla.obj-201374109,1880-05-22,"mprehensive and valuable. 7""All the single female immigrants per Clyde were engaged within a quarter of an hou",7|All|the|single|female,per|Clyde|were|engaged|within
nla.obj-127616411,1880-08-07,"hardson are to be opposed. The La Hogue, with 395 immigrants, left Ply- mouth for Sydney on 29th ult. The Auck",The|La|Hogue|with|395,left|Ply|mouth|for|Sydney
nla.obj-242204468,1880-09-11,passengers and a full cargo. The Peter- borough's immigrants have been released .from quarantine.—Balance Shee,cargo|The|Peter|borough|s,have|been|released|from|quarantine
nla.obj-127624573,1880-10-30,es (especially after death) &c. The right kind of immigrants. Within five days after landing there were thirte,c|The|right|kind|of,Within|five|days|after|landing
nla.obj-127624573,1880-10-30,r landing there were thirteen marriages among the immigrants who arrived recently in Cleveland Bay. Mr. Carpen,were|thirteen|marriages|among|the,who|arrived|recently|in|Cleveland
nla.obj-242222932,1880-11-13,asure that would induce a less dependent class of immigrants than that which has recently arrived in the colon,a|less|dependent|class|of,than|that|which|has|recently
nla.obj-242222932,1880-11-13," America is beating Australia. This year, 400,000 immigrants will be lauded in the States, most of them Englis",Australia|This|year|400|000,will|be|lauded|in|the
nla.obj-242222932,1880-11-13,that would be the means of introducing a class of immigrants that would be more suitable for the requirements ,of|introducing|a|class|of,that|would|be|more|suitable
nla.obj-242229226,1880-11-20,"J lambing below the average; poor pasturage Hogue immigrants absorbed. Fesenmeyer, Anditn General, Adelaide, s",the|average|poor|pasturage|Hogue,absorbed|Fesenmeyer|Anditn|General|Adelaide
nla.obj-204461471,1880-12-25,"khampton celebrity, has returned in charge of the immigrants per Scottish Prince. Mr. George Lansell, the Sand",returned|in|charge|of|the,per|Scottish|Prince|Mr|George
nla.obj-127632647,1881-01-01,reter. We have had great and good men amongst the immigrants of the last thirty years. There is not one of the,and|good|men|amongst|the,of|the|last|thirty|years
nla.obj-127633292,1881-01-08,"llection, which amounted to £3B, was made for the Immigrants’ Aid Society. Handel’s oratorio, “ The Messiah,” ",3B|was|made|for|the,Aid|Society|Handel|s|oratorio
nla.obj-127634679,1881-01-15,"f Adelaide brought 260 passengers from Melbourne. Immigrants from a new port. A boy named George Franklin, age",brought|260|passengers|from|Melbourne,from|a|new|port|A
nla.obj-128330549,1881-02-05," the Australian native-born are only equal to the immigrants, yet their immorality is as three to one. Our obs",are|only|equal|to|the,yet|their|immorality|is|as
nla.obj-128333258,1881-02-12,"l Dalhonsie has arrived at Brisbane, bringing 256 immigrants. The new Grammar School at Rockhampton opened wit",arrived|at|Brisbane|bringing|256,The|new|Grammar|School|at
nla.obj-128344287,1881-03-19,"orrespondent sends us the following:—“Some of the immigrants who arrive at our largest northern port, Towns- v",the|following|Some|of|the,who|arrive|at|our|largest
nla.obj-130173216,1881-04-09,"e the value of the goods seized. By the Devon 392 immigrants arrived. Of these, there were 133 English, 208 Ir",seized|By|the|Devon|392,arrived|Of|these|there|were
nla.obj-132942969,1881-04-16," unfortunates most liberally, is treating them as immigrants. A terrible state of things exists at Honolulu. S",liberally|is|treating|them|as,A|terrible|state|of|things
nla.obj-132943100,1881-04-23,"ent the gracious visit of Sirenree to the Italian immigrants:— ""The interview was a very pleasing one, the Pre",of|Sirenree|to|the|Italian,The|interview|was|a|very
nla.obj-132943100,1881-04-23,"John Robin- son [who is he ?] invited the Italian immigrants at the Agricultural Hall in the Outer Domain."" No",is|he|invited|the|Italian,at|the|Agricultural|Hall|in
nla.obj-132945489,1881-04-30,"flux of Chinese to describe a den when crowded by immigrants, and therefore rendered doubly hideous, but we pr",a|den|when|crowded|by,and|therefore|rendered|doubly|hideous
nla.obj-132948968,1881-05-07,- mate population of Victoria. One of the Italian immigrants refused to hire himself to an up-country master o,Victoria|One|of|the|Italian,refused|to|hire|himself|to
nla.obj-132948968,1881-05-07,been very successful. By the ship Blairgowrie 352 immigrants of a very respectable and useful class arrived at,By|the|ship|Blairgowrie|352,of|a|very|respectable|and
nla.obj-132948968,1881-05-07,"d have no water at all The Peterborough, with 395 immigrants, left London 22th April, for Sydney. TICKS OF THE",all|The|Peterborough|with|395,left|London|22th|April|for
nla.obj-132956583,1881-06-04, the WATERVIEW ES is the large Two of the Italian immigrants are the belles of Campbelltown. Detective Lyons g,large|Two|of|the|Italian,are|the|belles|of|Campbelltown
nla.obj-132956583,1881-06-04,Burrangonq Chronicle understands that the Italian immigrants brought to that district are giving the greatest ,Chronicle|understands|that|the|Italian,brought|to|that|district|are
nla.obj-132967421,1881-07-02,ment have wired their Agent- General to send 4000 immigrants per annum. Partly by the Torres Straits mail stea,Agent|General|to|send|4000,per|annum|Partly|by|the
nla.obj-132969462,1881-07-09,"rters Towers under date June 20 :— 44 Two hundred immigrants landed in Townsville last week, and of these twen",June|20|44|Two|hundred,landed|in|Townsville|last|week
