id,date,kwic,before,after
19150514_reps_6_76.xml,1915-05-14,"t, issued n proclamation defining the position of aliens - that is, of German subjects living, not in Germ",proclamation|defining|the|position|of,that|is|of|German|subjects
19150514_reps_6_76.xml,1915-05-14, means. He says -that this deals with deposits by aliens or by persons under paragraph c. ,this|deals|with|deposits|by,posits|by|aliens|or|by
19410626_reps_16_167.xml,1941-06-26," intelligence authorities interned him with enemy aliens, and refused to offer any reason for his detentio",authorities|interned|him|with|enemy,and|refused|to|offer|any
19410626_reps_16_167.xml,1941-06-26,"now he placed in a concentration camp among enemy aliens for no reason known to him, is to me astounding. ",a|concentration|camp|among|enemy,for|no|reason|known|to
19120801_reps_4_65.xml,1912-08-01,"cess of that allowed by the Act, or through being aliens, &c. ; but it is certain that the number who, fro",the|Act|or|through|being,c|but|it|is|certain
19390908_reps_15_161.xml,1939-09-08,"tern  all  alien citizens merely because they are aliens, or only those with respect to whom there are spe",citizens|merely|because|they|are,or|only|those|with|respect
19390908_reps_15_161.xml,1939-09-08,"iable to internment, in fact, is made up of those aliens in respect of whom information is held which indi",is|made|up|of|those,in|respect|of|whom|information
19390908_reps_15_161.xml,1939-09-08," held which indicates some subversive activities. Aliens, enemy aliens or not, in Australia who are not en",which|indicates|some|subversive|activities,enemy|aliens|or|not|in
19390908_reps_15_161.xml,1939-09-08,"dicates some subversive activities. Aliens, enemy aliens or not, in Australia who are not engaged in subve",some|subversive|activities|Aliens|enemy,or|not|in|Australia|who
19390908_reps_15_161.xml,1939-09-08,y? ,y,y
19390908_reps_15_161.xml,1939-09-08,"oldup in the naturalization of aliens, other than aliens of enemy nationality? ",naturalization|of|aliens|other|than,f|aliens|other|than|aliens
19390908_reps_15_161.xml,1939-09-08,"t of Defence, I understand that, apart from enemy aliens, the work is going on as usual. ",understand|that|apart|from|enemy,from|enemy|aliens|the|work
19390908_reps_15_161.xml,1939-09-08,vernment with regard to the wives and children of aliens who have been interned ? I ask this question for ,the|wives|and|children|of,who|have|been|interned|I
19390908_reps_15_161.xml,1939-09-08,f the fact that many of the wives and children of aliens who have been interned are Australianborn. ,the|wives|and|children|of,aliens|who|have|been|interned
19201001_reps_8_93.xml,1920-10-01,ly brought under notice certain provisions of the Aliens Restriction Act passed by the Imperial Parliament,notice|certain|provisions|of|the,Restriction|Act|passed|by|the
19201001_reps_8_93.xml,1920-10-01,"liament last year, referring to the employment of aliens on British registered ships. The Secretary of Sta",referring|to|the|employment|of,on|British|registered|ships|The
19201110_reps_8_94.xml,1920-11-10,"rding to the definition clause,  War Precautions (Aliens Registration) Regulations "" means the regulations",the|definition|clause|War|Precautions,Registration|Regulations|means|the|regulations
19201110_reps_8_94.xml,1920-11-10,ught into operation for the purpose of compelling aliens belonging to nations at war with the United Kingd,for|the|purpose|of|compelling,belonging|to|nations|at|war
19201110_reps_8_94.xml,1920-11-10,"to register. But now it is proposed to compel all aliens to register, not only the subjects of Germany, Au",is|proposed|to|compel|all,to|register|not|only|the
19201110_reps_8_94.xml,1920-11-10,"n this Bill. It deals, amongst other things, with aliens registration  officers,  obligation on aliens to ",deals|amongst|other|things|with,registration|officers|obligation|on|aliens
19201110_reps_8_94.xml,1920-11-10,"ith aliens registration  officers,  obligation on aliens to register, obligation on alien master or member",aliens|registration|officers|obligation|on,to|register|obligation|on|alien
19201110_reps_8_94.xml,1920-11-10,"e of certificate  of  registration, obligation on aliens to notify change of abode, register of aliens to ",certificate|of|registration|obligation|on,to|notify|change|of|abode
19201110_reps_8_94.xml,1920-11-10," on aliens to notify change of abode, register of aliens to be kept by hotelkeepers, aliens exempt from1 r",change|of|abode|register|of,to|be|kept|by|hotelkeepers
19201110_reps_8_94.xml,1920-11-10,"e, register of aliens to be kept by hotelkeepers, aliens exempt from1 regulations, aliens to produce certi",to|be|kept|by|hotelkeepers,exempt|from1|regulations|aliens|to
19201110_reps_8_94.xml,1920-11-10,"by hotelkeepers, aliens exempt from1 regulations, aliens to produce certificates of registration on demand",hotelkeepers|aliens|exempt|from1|regulations,to|produce|certificates|of|registration
19201110_reps_8_94.xml,1920-11-10,"o produce certificates of registration on demand, aliens or persons believed to be aliens to answer questi",certificates|of|registration|on|demand,or|persons|believed|to|be
19201110_reps_8_94.xml,1920-11-10,"ation on demand, aliens or persons believed to be aliens to answer questions, arrest, and onus of proof. S",or|persons|believed|to|be,to|answer|questions|arrest|and
19201110_reps_8_94.xml,1920-11-10,"overs two pages, and deals with the obligation on aliens to notify change of abode. It cancels regulation ",deals|with|the|obligation|on,to|notify|change|of|abode
19201110_reps_8_94.xml,1920-11-10,"ontrary intention appears. . . "" War Precautions (Aliens Registration) Regulations,"" means the regulations",ontrary|intention|appears|War|Precautions,Registration|Regulations|means|the|regulations
19201110_reps_8_94.xml,1920-11-10,"ke a new departure, and as we are about to compel aliens to register they have a right to know under what ",we|are|about|to|compel,to|register|they|have|a
19201110_reps_8_94.xml,1920-11-10,y have the effect of making it more expensive for aliens to come to Australia. It is sometimes impossible ,making|it|more|expensive|for,to|come|to|Australia|It
19201110_reps_8_94.xml,1920-11-10,ause 5 (Aliens registration officers) . ,ause|5|Aliens|registration|officers,ause|5|Aliens|registration|officers
19201110_reps_8_94.xml,1920-11-10,I see no reason for requiring the registration of aliens. ,for|requiring|the|registration|of,reason|for|requiring|the|registration
19201110_reps_8_94.xml,1920-11-10,ave to registe,ave|to|registe,ave|to|registe
19201110_reps_8_94.xml,1920-11-10,"persons who claim to be British subjects, and not aliens. Possibly they have made a mistake, but they will",be|British|subjects|and|not,Possibly|they|have|made|a
19201110_reps_8_94.xml,1920-11-10,uffer one-half the indignities that some of these aliens are to be subjected to. ,indignities|that|some|of|these,that|some|of|these|aliens
19201110_reps_8_94.xml,1920-11-10,,,
19201110_reps_8_94.xml,1920-11-10, provided for the registration of the children of aliens coming to this country. ,registration|of|the|children|of,of|the|children|of|aliens
19201110_reps_8_94.xml,1920-11-10,ies for the one offence both upon the children of aliens and upon their parents. ,both|upon|the|children|of,on|the|children|of|aliens
19481111_reps_18_199.xml,1948-11-11,"s,criminals, children, aborigines, and of course, aliens, as people without an effective ""voice in the nat",children|aborigines|and|of|course,as|people|without|an|effective
19420929_senate_16_172.xml,1942-09-29,,,
19041115_reps_2_23.xml,1904-11-15,tion to test the question whether a number of the aliens in Queensland are entitled to exercise the Federa,whether|a|number|of|the,in|Queensland|are|entitled|to
19041115_reps_2_23.xml,1904-11-15,"under the provisions of the Constitution, certain aliens should be included in the count! in Queensland, a",provisions|of|the|Constitution|certain,should|be|included|in|the
19041115_reps_2_23.xml,1904-11-15,h the compilation of the State rolls - are asking aliens who claim to be entitled to a vote whether they h,the|State|rolls|are|asking,who|claim|to|be|entitled
19191021_senate_7_90.xml,1919-10-21,ate the deportation from Australia of undesirable aliens or undesirable persons who are not aliens with th,deportation|from|Australia|of|undesirable,or|undesirable|persons|who|are
19191021_senate_7_90.xml,1919-10-21,sirable aliens or undesirable persons who are not aliens with the deportation of these three officials fro,undesirable|persons|who|are|not,with|the|deportation|of|these
19420325_senate_16_170.xml,1942-03-25, w,w,w
19420325_senate_16_170.xml,1942-03-25,ion of munitions will be held up. After these two aliens were interned they refused to sign a cheque last ,held|up|After|these|two,were|interned|they|refused|to
19420325_senate_16_170.xml,1942-03-25,tion of war material just as effectively as these aliens are capable of doing in the absence of regulation,just|as|effectively|as|these,are|capable|of|doing|in
19420325_senate_16_170.xml,1942-03-25,"ited, of Lidcombe, Sydney, with a number of enemy aliens in conjunction with another Sydney firm for the s",with|a|number|of|enemy,in|conjunction|with|another|Sydney
19420325_senate_16_170.xml,1942-03-25,"hammers are being manufactured by a firm of enemy aliens for 9s. each and are supplied to Smith, Sons and ",by|a|firm|of|enemy,for|9s|each|and|are
19420325_senate_16_170.xml,1942-03-25,"wed, we should be playing into the hands of enemy aliens who, as late as Friday last, refused to sign the ",into|the|hands|of|enemy,who|as|late|as|Friday
19420325_senate_16_170.xml,1942-03-25,ransport for Members of Fighting Services - Enemy Aliens : Internment ; activities- MajorGeneral Bennett -,Members|of|Fighting|Services|Enemy,Internment|activities|MajorGeneral|Bennett
19420325_senate_16_170.xml,1942-03-25,rder to discuss the necessity to intern all enemy aliens. The organization was granted a permit by the Sta,necessity|to|intern|all|enemy,The|organization|was|granted|a
19420325_senate_16_170.xml,1942-03-25,"gs ever seen in Brisbane. The internment of enemy aliens in Queensland is a very important matter, especia",Brisbane|The|internment|of|enemy,in|Queensland|is|a|very
19420325_senate_16_170.xml,1942-03-25,ally expressed that the internment of these enemy aliens has not he carried out on a more extensive scale.,the|internment|of|these|enemy,has|not|he|carried|out
19420325_senate_16_170.xml,1942-03-25,"s particularly stressed that reference to ' enemy aliens "" intended to cover all enemy subjects, naturaliz",stressed|that|reference|to|enemy,intended|to|cover|all|enemy
19420325_senate_16_170.xml,1942-03-25,vernment in the matter of the internment of enemy aliens. It is considered they are a distinct menace to t,of|the|internment|of|enemy,It|is|considered|they|are
19420325_senate_16_170.xml,1942-03-25,f our enemies. Our men think it unfair that these aliens should be free to work their machinations at such,think|it|unfair|that|these,should|be|free|to|work
