id,date,kwic,before,after
19300326_senate_12_123.xml,1930-03-26,en them; and (3) The Commonwealth should see that immigrants accepted under a scheme were satisfactorily settl,The|Commonwealth|should|see|that,accepted|under|a|scheme|were
19670411_reps_26_hor54.xml,1967-04-11,f the increase has come from migration and 99% of immigrants are single people or people with young families. ,from|migration|and|99|of,are|single|people|or|people
19560502_senate_22_s7.xml,1956-05-02,population. The  Government  has brought out many immigrants - more than ever before - but the Prime Minister ,Government|has|brought|out|many,more|than|ever|before|but
19570326_reps_22_hor14.xml,1957-03-26,"ve continually urged that we increase the flow of immigrants. That would act, they said, as a defence precauti",we|increase|the|flow|of,That|would|act|they|said
19570326_reps_22_hor14.xml,1957-03-26,"should be an immediate reduction of the intake of immigrants. In other words, the Labour party wants to accept",reduction|of|the|intake|of,In|other|words|the|Labour
19570326_reps_22_hor14.xml,1957-03-26,our party wants to accept all the things that the immigrants have done during recent years and then to say to ,all|the|things|that|the,have|done|during|recent|years
19570326_reps_22_hor14.xml,1957-03-26, the builders. I think it would be found that the immigrants had provided us with the necessaries with which t,would|be|found|that|the,had|provided|us|with|the
19570326_reps_22_hor14.xml,1957-03-26,"ietary Company Limited, it would be seen that the immigrants had contributed in very large measure to the work",would|be|seen|that|the,had|contributed|in|very|large
19570326_reps_22_hor14.xml,1957-03-26,"uilding industry, about 30,000, or one-third, are immigrants. In fact, we have brought to Australia about 46,0",000|or|one|third|are,In|fact|we|have|brought
19570326_reps_22_hor14.xml,1957-03-26,"n fact, we have brought to Australia about 46,000 immigrants for -the building industry. I do not suggest that",to|Australia|about|46|000,for|the|building|industry|I
19570326_reps_22_hor14.xml,1957-03-26,"000 houses and flats. In looking at the number of immigrants who are actually occupying homes, we must pay spe",looking|at|the|number|of,who|are|actually|occupying|homes
19570326_reps_22_hor14.xml,1957-03-26, and with relatives. 7t is reasonable to say that immigrants have increased the demand for homes by no more th,is|reasonable|to|say|that,have|increased|the|demand|for
19570326_reps_22_hor14.xml,1957-03-26,"ralia, which has received a greater percentage of immigrants than any other State, has the best housing positi",received|a|greater|percentage|of,than|any|other|State|has
19570326_reps_22_hor14.xml,1957-03-26,t housing problem. That is a fair indication that immigrants make a substantial contribution to the building p,is|a|fair|indication|that,make|a|substantial|contribution|to
19570326_reps_22_hor14.xml,1957-03-26,n Australia is produced by immigrant labour; that immigrants produce sufficient fibro to sheathe one fibro hou,produced|by|immigrant|labour|that,produce|sufficient|fibro|to|sheathe
19570326_reps_22_hor14.xml,1957-03-26,years. One must give a good deal of the credit to immigrants brought in to deal with this problem especially. ,deal|of|the|credit|to,brought|in|to|deal|with
19570326_reps_22_hor14.xml,1957-03-26,"I say again, as I said at the beginning, that the immigrants have contributed to the construction of many more",at|the|beginning|that|the,have|contributed|to|the|construction
19570326_reps_22_hor14.xml,1957-03-26,"t rate of immigration when we know that to import immigrants is to import unemployment, or to import slumhousi",we|know|that|to|import,is|to|import|unemployment|or
19570326_reps_22_hor14.xml,1957-03-26,"d, it will do a great disservice, not only to the immigrants whom it intends to bring to this country, but als",disservice|not|only|to|the,whom|it|intends|to|bring
19570326_reps_22_hor14.xml,1957-03-26,of them were immigrants. ,of|them|were|immigrants,of|them|were|immigrants
19570326_reps_22_hor14.xml,1957-03-26,"industry, 70 per cent, of the employees have been immigrants. I am not disagreeing on the facts. This is  a  m",of|the|employees|have|been,I|am|not|disagreeing|on
19570326_reps_22_hor14.xml,1957-03-26," be able to build 20,000 houses each year to give immigrants the houses they need and then we ought to be buil",houses|each|year|to|give,the|houses|they|need|and
19570326_reps_22_hor14.xml,1957-03-26,". Land is getting into fewer and fewer hands. The immigrants are adding to the congestion in the cities, which",fewer|and|fewer|hands|The,are|adding|to|the|congestion
19141212_reps_6_75.xml,1914-12-12,"lden egg."" While we are doing our best to attract immigrants to the Commonwealth, this beautiful advertisement",doing|our|best|to|attract,to|the|Commonwealth|this|beautiful
19510622_reps_20_213.xml,1951-06-22,"nions, power and light. In addition, thousands of immigrants are arriving in the country to swell our populati",light|In|addition|thousands|of,are|arriving|in|the|country
19610926_senate_23_s20.xml,1961-09-26,nment and become citizens. Some British and other immigrants come to this country from the places of their bir,citizens|Some|British|and|other,come|to|this|country|from
19560906_reps_22_hor12.xml,1956-09-06,ecently to see whether the number of single women immigrants of marriageable age could be increased in order t,the|number|of|single|women,of|marriageable|age|could|be
19560906_reps_22_hor12.xml,1956-09-06,r to maintain the balance between the sexes among immigrants. Our great hope is that immigration will build up,balance|between|the|sexes|among,Our|great|hope|is|that
19560906_reps_22_hor12.xml,1956-09-06," result from the disproportion of the sexes among immigrants. In fact, the preponderance of males over females",disproportion|of|the|sexes|among,In|fact|the|preponderance|of
19560906_reps_22_hor12.xml,1956-09-06,"ct, the preponderance of males over females among immigrants is one of the worst social evils that Australia i",of|males|over|females|among,is|one|of|the|worst
