date,debate,speaker,speaker_id,house,parliament,context,speech_url
1920-11-04,ALIENS REGISTRATION BILL: Second Reading,Mr POYNTON,KYD,hofreps,8, contained in those regulations. The purpose of the Bill is to control the registration of **aliens** in the,https://historichansard.net/hofreps/1920/19201104_reps_8_94/#subdebate-11-0-s0
1920-11-10,ALIENS REGISTRATION BILL,Mr CONSIDINE,K4F,hofreps,8," **aliens**, particularly those of the working class who come here. It has already been pointed out how",https://historichansard.net/hofreps/1920/19201110_reps_8_94/#debate-17-s18
1920-11-10,ALIENS REGISTRATION BILL,Mr TUDOR,KWL,hofreps,8," year. According to the definition clause,  War Precautions (**Aliens** Registration) Regulations "" means",https://historichansard.net/hofreps/1920/19201110_reps_8_94/#debate-17-s0
1920-11-16,ALIENS REGISTRATION BILL,Mr WEST,KZA,hofreps,8, more generous in dealing with the admission of **aliens** into the Commonwealth ? Every man who can mount a,https://historichansard.net/hofreps/1920/19201116_reps_8_94/#debate-7-s9
1920-11-16,ALIENS REGISTRATION BILL,Mr CONSIDINE,K4F,hofreps,8, drastic action. There are other means of identifying **aliens** who seek admission to the Commonwealth. ,https://historichansard.net/hofreps/1920/19201116_reps_8_94/#debate-7-s7
1920-11-03,NATIONALITY BILL,Mr GREGORY,KFE,hofreps,8,First Schedule (Part II. of the British Nationality and Status of **Aliens** Act 1914). ,https://historichansard.net/hofreps/1920/19201103_reps_8_94/#debate-8-s43
1920-11-03,NATIONALITY BILL,Mr CHARLTON,JXA,hofreps,8, letters of naturalization shall cease to be British subjects and shall become **aliens**. ,https://historichansard.net/hofreps/1920/19201103_reps_8_94/#debate-8-s42
1920-11-22,IMMIGRATION BILL,Mr PARKER MOLONEY,L4X,hofreps,8,", respecting the naturalization of **aliens**, that Commonwealth legislation should be framed in conformity",https://historichansard.net/hofreps/1920/19201122_reps_8_94/#debate-23-s7
1920-11-22,WAR PRECAUTIONS ACT REPEAL BILL: Second Reading,Mr HUGHES,DQC,hofreps,8," another country. Companies in which **aliens** have more than a one-third interest, are not to be allowed",https://historichansard.net/hofreps/1920/19201122_reps_8_94/#subdebate-22-0-s0
1920-04-30,ALIENS REGISTRATION BILL: Second Reading,Senator GARDINER,KKZ,senate,8," therein the following particulars of all **aliens** staying at the hotel, inn, boardinghouse, or",https://historichansard.net/senate/1920/19200430_senate_8_91/#subdebate-7-0-s4
1919-06-25,QUESTION: MEETING OF PARLIAMENT AT FEDERAL CAPITAL,Senator O'KEEFE,JZ9,senate,7,Precautions Act to show that the Minister 'administering it may order the deportation of **aliens**,https://historichansard.net/senate/1919/19190625_senate_7_88/#subdebate-11-0-s7
1919-08-28,IMMIGRATION BILL: Third Reading,Mr TUDOR,KWL,hofreps,7, platform he would let the people know how the members of this Opposition were anxious to let **aliens**,https://historichansard.net/hofreps/1919/19190828_reps_7_89/#subdebate-36-0-s0
1919-08-28,IMMIGRATION BILL,Mr GLYNN,KCO,hofreps,7," clause if the amendment were accepted. It would not apply to **aliens**, but it certainly would to a",https://historichansard.net/hofreps/1919/19190828_reps_7_89/#debate-36-s21
1919-08-28,IMMIGRATION BILL,Mr GLYNN,KCO,hofreps,7, deals only with the deportation of **aliens**. Our Act gives power to deport persons who came from the,https://historichansard.net/hofreps/1919/19190828_reps_7_89/#debate-36-s15
1919-09-12,ALIENS REGISTRATION BILL: Second Reading,Senator GRANT,KMP,senate,7,". Quite an army is to be exempt, including all **aliens** exempted by or under the authority of the",https://historichansard.net/senate/1919/19190912_senate_7_89/#subdebate-7-0-s3
1918-06-15,APPLE BOUNTY BILL: Second Reading,Senator RUSSELL,K3E,senate,7," persons, **aliens**, or Asiatics, from participating in the bounty. ",https://historichansard.net/senate/1918/19180615_senate_7_85/#subdebate-14-0-s10
1918-12-13,WAR PRECAUTIONS BILL: Second Reading,Senator PEARCE,K0F,senate,7,"Now, I will deal with specific considerations. First, there is the control of_ **aliens**. About 5,000",https://historichansard.net/senate/1918/19181213_senate_7_87/#subdebate-9-0-s0
1915-08-31,WAR PRECAUTIONS BILL (No. 3): Second Reading,Senator KEATING,KPE,senate,6," **aliens**, naturalized subjects, and naturalborn subjects of the King. ",https://historichansard.net/senate/1915/19150831_senate_6_78/#subdebate-9-0-s0
1915-09-01,"SUPPLY BILL (No. 2), 1915-16",Senator TURLEY,K8W,senate,6," generously. Of course, it may be urged that I am boosting **aliens**. But I was brought up in a school in",https://historichansard.net/senate/1915/19150901_senate_6_78/#debate-4-s5
1917-03-01,QUESTION: FREIGHTS ON TRANSPORTS,Dr MALONEY,KLM,hofreps,6, **aliens** who carry on business in this city under British names. We see Greek  restaurateurs  deluding,https://historichansard.net/hofreps/1917/19170301_reps_6_81/#subdebate-17-0-s5
1917-03-15,PERSONAL EXPLANATION,Mr ANSTEY,JLY,hofreps,6,"The honorable member can take my word that they are not **aliens**. There are two brothers, both young",https://historichansard.net/hofreps/1917/19170315_reps_6_81/#debate-25-s5
1917-03-14,CUSTOMS TARIFF VALIDATION BILL: Second Reading,Dr MALONEY,KLM,hofreps,6," of drugs with German names; and it is a fact that, in New South Wales, enemy **aliens**, who had their",https://historichansard.net/hofreps/1917/19170314_reps_6_81/#subdebate-26-0-s29
