date,debate,speaker,speaker_id,house,parliament,context,speech_url
1920-11-04,IMMIGRATION BILL: Second Reading,Mr POYNTON,KYD,hofreps,8, **immigrants** - ,https://historichansard.net/hofreps/1920/19201104_reps_8_94/#subdebate-12-0-s0
1920-11-26,BASIC WAGE COMMISSION'S REPORT,Mr WEST,KZA,hofreps,8," Australia, especially when it is seeking; to attract a large stream of **immigrants** to its shores, if we",https://historichansard.net/hofreps/1920/19201126_reps_8_94/#debate-41-s4
1920-11-24,WAR PRECAUTIONS ACT REPEAL BILL,Mr SPEAKER,10000,hofreps,8, **immigrants** to Australia. The worst way in which they could possibly go about that purpose is to publish,https://historichansard.net/hofreps/1920/19201124_reps_8_94/#debate-12-s1
1920-11-22,IMMIGRATION BILL: Second Reading,Mr BRENNAN,JSC,hofreps,8," civilized, efficient, and, on general principles, desirable **immigrants** from Central Europe, then, as",https://historichansard.net/hofreps/1920/19201122_reps_8_94/#subdebate-21-0-s21
1920-03-17,QUESTION: GOVERNOR-GENERAL'S SPEECH : ADDRESS-IN-REPLY,Dr EARLE PAGE,C7E,hofreps,8, policy. What prospects are there of a satisfactory influx of suitable **immigrants** until and unless,https://historichansard.net/hofreps/1920/19200317_reps_8_91/#subdebate-11-0-s1
1920-05-05,INVALID AND OLD-AGE PENSIONS APPROPRIATION BILL,Dr EARLE PAGE,C7E,hofreps,8, a great hardship. I refer to the sons and daughters of foreign **immigrants** who came to this country,https://historichansard.net/hofreps/1920/19200505_reps_8_91/#debate-13-s4
1920-04-30,ALIENS REGISTRATION BILL: Second Reading,Senator GARDINER,KKZ,senate,8," some worthy **immigrants**.  Senator de  Largie, under such circumstances, would have to submit to a",https://historichansard.net/senate/1920/19200430_senate_8_91/#subdebate-7-0-s4
1920-04-23,IMMIGRATION BILL: Second Reading,Senator FOLL,JZD,senate,8," **immigrants**. According to 'the honorable senator, Phillip Snowden and other Labour leaders would not have the",https://historichansard.net/senate/1920/19200423_senate_8_91/#subdebate-7-0-s4
1920-02-26,GOVERNOR-GENERAL'S SPEECH: ADDRESS-IN-REPLY,Mr KERBY,KEK,hofreps,8, which we can immediately increase our population is by encouraging a suitable type of **immigrants** to come,https://historichansard.net/hofreps/1920/19200226_reps_8_91/#debate-20-s1
1919-06-26,QUESTION: EMIGRATION FROM GREAT BRITAIN TO AUSTRALIA,Mr PIGOTT,KYA,hofreps,7," stated that intending **immigrants** to Australia were prevented from booking passages, although they were",https://historichansard.net/hofreps/1919/19190626_reps_7_88/#subdebate-12-0-s0
1919-08-28,IMMIGRATION BILL,Mr MATHEWS,KNH,hofreps,7," country whom he considers to be undesirable **immigrants**, but which the balance of the community may",https://historichansard.net/hofreps/1919/19190828_reps_7_89/#debate-36-s29
1919-08-28,IMMIGRATION BILL,Mr MAXWELL,KNP,hofreps,7, **immigrants**. ,https://historichansard.net/hofreps/1919/19190828_reps_7_89/#debate-36-s24
1919-08-28,IMMIGRATION BILL,Mr GLYNN,KCO,hofreps,7," evaded the Act, and who are prohibited **immigrants** within the meaning of the Act. The clause means",https://historichansard.net/hofreps/1919/19190828_reps_7_89/#debate-36-s15
1919-08-28,IMMIGRATION BILL,Mr GLYNN,KCO,hofreps,7, prohibited **immigrants**. ,https://historichansard.net/hofreps/1919/19190828_reps_7_89/#debate-36-s4
1919-09-12,SUPPLY BILL (No. 2) 1919-20,Mr LAIRD SMITH,KTU,hofreps,7," isthe best country in which to settle, we shall secure all the **immigrants** we want. ",https://historichansard.net/hofreps/1919/19190912_reps_7_89/#debate-20-s6
1920-07-21,"QUESTION: MILITARY BASE HOSPITAL, FREMANTLE",Sir GRANVILLE RYRIE,L0I,hofreps,8,"Under an agreement which expires on 31st December next, the **Immigrants**' Home, Fremantle - a",https://historichansard.net/hofreps/1920/19200721_reps_8_92/#subdebate-24-0-s1
1914-12-14,LAND TAX BILL,Mr ATKINSON,JMG,hofreps,6," **immigrants** too kindly. This, according to the agents and others has a bad effect abroad, and, to use a",https://historichansard.net/hofreps/1914/19141214_reps_6_76/#debate-16-s36
1915-09-08,QUESTION: IMMIGRANTS FROM SOUTH AMERICA,Mr FLEMING,KFC,hofreps,6,Is it a fact that the 220 **immigrants** lately brought to the Commonwealth from South America did not,https://historichansard.net/hofreps/1915/19150908_reps_6_78/#subdebate-30-0-s0
1921-06-01,QUESTION: INTERNMENT OF MR. DEHLE,Mr CUNNINGHAM,K88,hofreps,8, **immigrants** here to be put on the land if our own people are being turned off it? If our own men,https://historichansard.net/hofreps/1921/19210601_reps_8_95/#subdebate-10-0-s15
1921-04-22,QUESTION: IMPERIAL CONFERENCE,Mr FOWLER,JWG,hofreps,8," Japanese immigration. These **immigrants** were all right when they came into the country as coolies, but the",https://historichansard.net/hofreps/1921/19210422_reps_8_95/#subdebate-9-0-s0
1921-05-11,QUESTION: BURNETT LANDS LOAN TO QUEENSLAND,Sir JOSEPH COOK,F4S,hofreps,8," the matter. For instance, he proposes that the **immigrants** should be supplied with ready-made farms, to",https://historichansard.net/hofreps/1921/19210511_reps_8_95/#subdebate-0-0-s1
1920-11-19,IMMIGRATION BILL: Second Reading,Mr GABB,K0A,hofreps,8," get **immigrants** from other countries, and we may be obliged to look to Germany for them. When that",https://historichansard.net/hofreps/1920/19201119_reps_8_94/#subdebate-5-0-s1
1921-05-12,QUESTION: OVER WEIGHT WHEAT BAGS,Mr FLEMING,KFC,hofreps,8," large number of good **immigrants** to come to Australia. He is a very able and intelligent man, of good",https://historichansard.net/hofreps/1921/19210512_reps_8_95/#subdebate-29-0-s11
1921-07-07,QUESTION: FEINTING COMMITTEE,Mr RILEY,KYV,hofreps,8,", State says that Queensland wants no **immigrants** unless he can borrow £2,00.0,000 for the construction of",https://historichansard.net/hofreps/1921/19210707_reps_8_96/#subdebate-16-0-s4
1921-07-14,"QUESTION: WHEAT POOL, 1921-22",Mr CHARLTON,JXA,hofreps,8," Federal Government, and I maintain that **immigrants** should not be brought in to-day to take the place",https://historichansard.net/hofreps/1921/19210714_reps_8_96/#subdebate-18-0-s10
1920-10-06,QUESTION: IMMIGRATION,Mr HUGHES,DQC,hofreps,8, see to it that **immigrants** are not induced to come to Australia by false representations. There is,https://historichansard.net/hofreps/1920/19201006_reps_8_93/#subdebate-0-0-s1
1920-10-14,QUESTION: BUDGET (1920-21),Mr ATKINSON,JMG,hofreps,8,. We must have a big inflow of **immigrants** to help us. I arn glad that the Government intend to,https://historichansard.net/hofreps/1920/19201014_reps_8_94/#subdebate-9-0-s2
1920-10-13,SUPPLY BILL (No. 4) 1920-21,Senator EARLE,JYF,senate,8," abroad, than the **immigrants**. I do not propose to indicate any saving to the Government in this",https://historichansard.net/senate/1920/19201013_senate_8_94/#debate-6-s6
1920-09-16,BUDGET (1920-21): In Committee of Supply:,Sir JOSEPH COOK,F4S,hofreps,8," for millions of **immigrants**. If, in this way, we could double our population, we should at the same",https://historichansard.net/hofreps/1920/19200916_reps_8_93/#subdebate-9-0-s0
1920-10-15,BUDGET (1920-21): In Committee of Supply:,Mr FOWLER,JWG,hofreps,8," 400,000 **immigrants** from Great Britain, whereas we have been getting them in driblets of a few dozen at a",https://historichansard.net/hofreps/1920/19201015_reps_8_94/#subdebate-8-0-s7
1920-10-27,NATIONALITY BILL: Second Reading,Mr BRENNAN,JSC,hofreps,8, **immigrants** who may wish to come to Australia from foreign lands. If the Minister would take the,https://historichansard.net/hofreps/1920/19201027_reps_8_94/#subdebate-14-0-s3
1920-03-04,SUPPLY: Censure Amendment,Dr EARLE PAGE,C7E,hofreps,8, attempt to bring to this; country **immigrants** from overseas unless some provision is made to alter,https://historichansard.net/hofreps/1920/19200304_reps_8_91/#subdebate-5-0-s0
1919-08-20,IMMIGRATION BILL: Second Reading,Mr GLYNN,KCO,hofreps,7," regard to prohibited **immigrants**, to bring within the power to deport a new class to be prohibited",https://historichansard.net/hofreps/1919/19190820_reps_7_89/#subdebate-41-0-s0
1919-08-27,TRADE WITH GERMANY,Mr FINLAYSON,KEX,hofreps,7, people of the Mother Country are not worthy of being **immigrants** to Australia. ,https://historichansard.net/hofreps/1919/19190827_reps_7_89/#debate-39-s9
1919-08-27,TRADE WITH GERMANY,Mr BAYLEY,JOG,hofreps,7," late years, until the outbreak of the war, on the average, over 1,000,000 **immigrants** a year, has not",https://historichansard.net/hofreps/1919/19190827_reps_7_89/#debate-39-s2
1919-08-27,QUESTION: POINTCOOK AVIATION SCHOOL,Mr FINLAYSON,KEX,hofreps,7," do not think Australia wants **immigrants** from those countries, or that they would get a very",https://historichansard.net/hofreps/1919/19190827_reps_7_89/#subdebate-38-0-s16
1919-08-27,QUESTION: POINTCOOK AVIATION SCHOOL,Mr FOWLER,JWG,hofreps,7," of this section, hereinafter called "" prohibited **immigrants**,'' is prohibited. ",https://historichansard.net/hofreps/1919/19190827_reps_7_89/#subdebate-38-0-s5
1923-03-01,GOVERNOR-GENERAL'S SPEECH: ADDRESS-IN-REPLY: No-Coitfidence Amendment,Mr SCULLIN,F4Q,hofreps,9, they are sacked and new **immigrants** are put in their places. We see statements in the press by,https://historichansard.net/hofreps/1923/19230301_reps_9_102/#subdebate-22-0-s3
1911-11-15,BUDGET: Summary. - Six States,Mr GROOM,KFK,hofreps,4,"It is **immigrants** belonging to those classes whom we need, and the Government should co-operate with",https://historichansard.net/hofreps/1911/19111115_reps_4_62/#subdebate-12-3-s3
1912-08-21,QUESTION: IMMIGRATION,Senator LYNCH,KRZ,senate,4," the mad rush of **immigrants** to Australia still continues, that they cannot secure berths until next",https://historichansard.net/senate/1912/19120821_senate_4_65/#subdebate-4-0-s0
1912-08-21,BUDGET,Mr ATKINSON,JMG,hofreps,4, immigration by the Commonwealth. **Immigrants** of the right type are the serious want of Australia at the,https://historichansard.net/hofreps/1912/19120821_reps_4_65/#debate-11-s9
1922-06-30,SUPPLY BILL (No. 1) 1922-23,Mr SPEAKER,10000,hofreps,8," settle it satisfactorily. You cannot bring **immigrants** into a country, provide employment for them, and",https://historichansard.net/hofreps/1922/19220630_reps_8_99/#debate-4-s4
1922-06-29,GOVERNOR-GENERAL'S .SPEECH,Senator BOLTON,K2C,senate,8," **immigrants** to this country should be men and women of our own race. It is, of course, somewhat difficult to",https://historichansard.net/senate/1922/19220629_senate_8_99/#debate-7-s2
1922-06-29,GOVERNOR-GENERAL'S SPEECH,Mr JACKSON,KJM,hofreps,8, **immigrants** will create greater unemployment. I remember my father telling me many years ago that on his,https://historichansard.net/hofreps/1922/19220629_reps_8_99/#debate-35-s1
1923-07-05,QUESTION: GOVERNOR-GENERAL'S SPEECH: ADDRESS-IN-REPLY,Senator NEEDHAM,JXJ,senate,9," first place, we are getting from overseas the very best class of **immigrants**. I do not desire to",https://historichansard.net/senate/1923/19230705_senate_9_103/#subdebate-13-0-s0
1923-06-14,GOVERNOR-GENERAL'S SPEECH : ADDRESS-IN-REPLY: Motionof No-Confidence,Mr WEST,KZA,hofreps,9," prepared to meet the **immigrants**. The Chinese were on the ships in the harbors, and I asked  Sir Henry",https://historichansard.net/hofreps/1923/19230614_reps_9_103/#subdebate-25-0-s5
1923-03-15,ADJOURNMENT: Australia !,Senator PEARCE,K0F,senate,9," them taken out a few days ago, and they are exceedingly informative. In 1921 the assisted **immigrants**",https://historichansard.net/senate/1923/19230315_senate_9_102/#subdebate-14-0-s1
1922-08-17,"BUDGET, 1922-23.: In Committee of Supply:",Mr BRUCE,F4B,hofreps,8, intending **immigrants**. This arrangement forme part of the general scheme under the British Overseas,https://historichansard.net/hofreps/1922/19220817_reps_8_100/#subdebate-17-0-s0
1923-06-27,SUPPLY BILL (No. 1) 1923-24,Mr CORSER,K6S,hofreps,9," nothing at all about agriculture, to come, out here as **immigrants**. In my own electorate there is a large",https://historichansard.net/hofreps/1923/19230627_reps_9_103/#debate-23-s8
1923-06-21,GOVERNOR-GENERAL'S SPEECH: ADDRESS-IN-REPLY: Censure Amendment,Mr SEABROOK,KQW,hofreps,9," **immigrants** wages will suffer a reduction and unemployment will be created, but they should realize",https://historichansard.net/hofreps/1923/19230621_reps_9_103/#subdebate-32-0-s2
1923-07-03,NATIONAL DEBT SINKING FUND BILL: Second Reading,Mr CHARLTON,JXA,hofreps,9, **immigrants** will mean little more than an addition to our already heavy list of unemployed. ,https://historichansard.net/hofreps/1923/19230703_reps_9_103/#subdebate-22-0-s0
1923-07-03,QUESTION: AUSTRALIA HOUSE AND IMMIGRATION,Mr CHARLTON,JXA,hofreps,9, of **immigrants** who apply at Australia House for selection are sent to these agents to have their,https://historichansard.net/hofreps/1923/19230703_reps_9_103/#subdebate-2-0-s0
1922-10-12,IMMIGRATION LOAN BILL: Second Reading,Senator FOLL,JZD,senate,8, carried out by the **immigrants** or whether men who are now unemployed in Australia will be engaged in,https://historichansard.net/senate/1922/19221012_senate_8_101/#subdebate-12-0-s6
1922-10-12,"BUDGET, 1922-23: In Committee of Supply:",Mr SCULLIN,F4Q,hofreps,8,"  purposes, and a further sum of £200,000, representing the passage money for assisted **immigrants**. These",https://historichansard.net/hofreps/1922/19221012_reps_8_101/#subdebate-19-0-s4
1918-11-19,"QUESTION: NOISE, AND FILTH, AND WANT OF GOOD FOOD",Senator PEARCE,K0F,senate,7," far as the ships for which we are responsible, and the **immigrants** . coming out to Australia for whom",https://historichansard.net/senate/1918/19181119_SENATE_7_86/#subdebate-13-0-s2
1936-03-24,QUESTION: TARIFF PROPOSALS 1935-36,Mr RIORDAN,KYZ,hofreps,14," men engaged in the industry been **immigrants**, there would have been a repetition of the protests",https://historichansard.net/hofreps/1936/19360324_reps_14_149/#subdebate-13-0-s8
1935-11-27,"ESTIMATES, 1935-36: Allotment of Time",Mr HOLT,009MC,hofreps,14, facilities are available only to young **immigrants** from Great Britain. I urge the Minister for the Interior,https://historichansard.net/hofreps/1935/19351127_reps_14_148/#subdebate-18-1-s16
1923-07-31,IMPERIAL AWD ECONOMIC CONFERENCES: Subjects Listed for Discussion,Senator GARDINER,KKZ,senate,9,", cultivators, ploughs and harrows - surely these are articles which their **immigrants** will need - are taxed 20",https://historichansard.net/senate/1923/19230731_senate_9_104/#subdebate-8-0-s0
1923-08-08,"QUESTION: BUDGET, 1923-24",Mr O'KEEFE,JZ9,hofreps,9, Immigration in Launceston to the class of **immigrants** that are being brought to Tasmania. Only last,https://historichansard.net/hofreps/1923/19230808_reps_9_104/#subdebate-19-0-s6
1923-08-08,"QUESTION: BUDGET, 1923-24",Mr E RILEY,KYV,hofreps,9," regard to those evils. It is useless to bring **immigrants**, to the country if neglect of the health",https://historichansard.net/hofreps/1923/19230808_reps_9_104/#subdebate-19-0-s1
1923-08-07,"QUESTION: BUDGET, 1923-24",Mr COOK,K4M,hofreps,9," is as it is, we have very poor prospects of successfully settling **immigrants**. The Commonwealth",https://historichansard.net/hofreps/1923/19230807_reps_9_104/#subdebate-24-0-s14
1923-08-06,"QUESTION: BUDGET, 1923-24",Mr PRATTEN,K1J,hofreps,9,", that part, if not all, of the assisted passages of **immigrants** will be paid for out of loan funds. If",https://historichansard.net/hofreps/1923/19230806_reps_9_104/#subdebate-13-0-s2
1923-07-26,IMMIGRATION BILL,Senator GARDINER,KKZ,senate,9," were, little, red-faced, cheery **immigrants**, who would soon be roughing it with Australians, and being",https://historichansard.net/senate/1923/19230726_senate_9_104/#debate-4-s13
1927-10-06,LOAN BILL (No. 2) 1927-28,Mr MCGRATH,KRD,hofreps,10,", Victorian members assert that money for bringing out **immigrants** is not a fair capital expenditure, although",https://historichansard.net/hofreps/1927/19271006_reps_10_116/#debate-29-s6
1927-10-05,QUESTION: ASSISTED BRITISH MIGRANTS,Senator NEEDHAM,JXJ,senate,10," of assisted **immigrants** to Australia, showing - (a) Free passage money grants, (b) loans of passage",https://historichansard.net/senate/1927/19271005_senate_10_116/#subdebate-7-0-s2
1932-05-03,IMMIGRATION BILL,Senator DUNCAN-HUGHES,JY7,senate,13,Clause 4 (**Immigrants** evading officers or found within the Commonwealth). ,https://historichansard.net/senate/1932/19320503_senate_13_134/#debate-7-s3
1910-07-01,QUESTION: GOVERNOR-GENERAL'S SPEECH : ADDRESS-IN-REPLY,Mr SCULLIN,F4Q,hofreps,4," for the **immigrants** who might come from beyond the seas. This Government, however, has, at the",https://historichansard.net/hofreps/1910/19100701_reps_4_55/#subdebate-15-0-s0
1910-08-10,SUPPLY BILL (No. 2),Senator GUTHRIE,KNB,senate,4,", bringing **immigrants**. A ship on which I was working left Brisbane the same day. When we got outside",https://historichansard.net/senate/1910/19100810_senate_4_55/#debate-9-s17
1924-09-10,QUESTION: ESTIMATES 1924-25,Mr F MCDONALD,KQS,hofreps,9,"Two families of **immigrants** came to this country, attracted by the advertisements which this",https://historichansard.net/hofreps/1924/19240910_reps_9_108/#subdebate-18-0-s39
